bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree
255,VB|PRP|VB,VB|VB,MOD let,MOD let,,,,,0,,,0,0
267,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
785,VBD|VBG,VBD|VBG,PAST PROG,PAST PROG,VBD,VBD,PAST,PAST,1,PAST ~ PAST PROG,PAST ~ PAST PROG,0,0
878,VBD,VBD,PAST,PAST,,,,,0,,,0,0
1149,VB|RB,VB,MOD shall,MOD shall,VB|JJ,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
1153,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
1251,MD|VB|VBN,VB|VBN,FUT,FUT,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT,FUT,1,1
1254,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1537,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
1610,VB,VB,MOD lest,MOD lest,VB,VB,TO INF,TO INF,1,MOD lest ~ TO INF,MOD lest ~ TO INF,0,0
1617,VB,VB,MOD lest,MOD lest,VB,VB,MOD must,MOD must,1,MOD lest ~ MOD must,MOD lest ~ MOD must,0,0
1619,VBP,VBP,MOD lest,MOD lest,VB,VB,MOD must,MOD must,1,MOD lest ~ MOD must,MOD lest ~ MOD must,0,0
1895,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
1903,,,,,,,,,0,,,0,0
2654,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
2685,PRP|VBD|NNS,VBD,PAST,PAST,VBD|NNS,VBD,PAST,PAST,1,PAST,PAST,1,1
2861,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
2943,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
2948,PRP|MD|VB,VB,MOD shall,MOD shall,,,,,0,,,0,0
3018,VB|RP,VB,IMPV,IMPV,VB|RB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
3021,PRP|MD|VB,VB,MOD shall,MOD shall,,,,,0,,,0,0
3121,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
3900,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0
3905,VB|JJ,VB,MOD may,MOD may,VB|JJ,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0
3907,VB,VB,MOD may,MOD may,VB|IN|NN,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0
4218,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
4271,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
4281,,,,,,,,,0,,,0,0
4289,VBZ|VBN,VBZ|VBN,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
4296,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
4324,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
4331,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5525,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
5715,,,,,,,,,0,,,0,0
5722,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5726,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5741,MD|VB|VBN,VB|VBN,MOD may,MOD may,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0
6160,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
6772,PRP|VBD,VBD,PAST,PAST,NNP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
6894,MD|VB|NNS,VB,FUT,FUT,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT,FUT,1,1
6896,MD|VB|VBN,VB|VBN,FUT,FUT,VBN,VBN,,,0,,,0,0
7235,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
7378,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7391,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7400,PRP|MD|VB|JJ,VB,FUT,FUT,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1
7406,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7414,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7439,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7456,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7492,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,VBP|TO|VB|NN,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
7497,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7536,VB|VB,VB|VB,MOD shall,MOD shall,VBZ|TO|VB,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
7553,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7579,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7588,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7590,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7643,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
7648,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7666,MD|VB|JJ,VB,FUT,FUT,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1
7669,VB,VB,FUT,FUT,MD|VB|NNS,VB,FUT,FUT,1,FUT,FUT,1,1
7679,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8113,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
8131,VB,VB,TO INF,TO INF,VB,VB,TO INF,TO INF,1,TO INF,TO INF,1,1
8244,,,,,,,,,0,,,0,0
8275,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8466,PRP|MD|VB|RP|RB,VB,MOD may,MOD may,RB|IN|DT|NN,,,,0,,,0,0
8468,VB,VB,MOD may,MOD may,VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0
8867,PRP|VBP,VBP,PRES,PRES,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ PRES,FUT ~ PRES,0,0
9483,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
10067,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
10622,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
11175,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
11259,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD shall,MOD can ~ MOD shall,0,0
11275,PRP|MD|VB|JJ,VB,FUT,FUT,PRP|MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT,FUT,1,1
11385,,,,,MD|PRP|VB,VB,MOD may,MOD may,0,,,0,0
11397,MD|VB,VB,MOD shall,MOD shall,PRP|VBZ,VBZ,PRES,PRES,1,MOD shall ~ PRES,MOD shall ~ PRES,0,0
11855,VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
11881,VB,VB,FUT,FUT,VB|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1
11884,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD shall,MOD can ~ MOD shall,0,0
11908,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
11942,,,,,,,,,0,,,0,0
11950,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP,VBP,PRES,PRES,1,MOD shall ~ PRES,MOD shall ~ PRES,0,0
11959,MD|VB,VB,FUT,FUT,PRP|VBZ,VBZ,PRES,PRES,1,FUT ~ PRES,FUT ~ PRES,0,0
13043,PRP|MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
13053,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1
13061,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
13071,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
13189,PRP|MD|VB|VBN,VB|VBN,MOD would,MOD would,PRP|MD|VB|VBN,VB|VBN,MOD would,MOD would,1,MOD would,MOD would,1,1
13405,PRP|MD|VB|JJ,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
13436,MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
13438,VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
13793,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
13797,VB,VB,TO INF,TO INF,VB,VB,TO INF,TO INF,1,TO INF,TO INF,1,1
13824,PRP|MD|VB|TO|VB,VB|VB,MOD shall,MOD shall,PRP|MD|VB|TO|VB,VB|VB,MOD would,MOD would,1,MOD shall ~ MOD would,MOD shall ~ MOD would,0,0
13830,VB,VB,MOD shall,MOD shall,MD|VB|RP,VB,MOD would,MOD would,1,MOD shall ~ MOD would,MOD shall ~ MOD would,0,0
14360,,,,,,,,,0,,,0,0
14365,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
14439,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
14454,PRP|VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
14460,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
14462,VB,VB,FUT,FUT,,,,,0,,,0,0
14547,PRP|MD|VB,VB,MOD may,MOD may,PRP|VBP,VBP,PRES,PRES,1,MOD may ~ PRES,MOD may ~ PRES,0,0
14602,VBD|RB,VBD,PAST,PAST,VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST ~ PAST PERF,PAST ~ PAST PERF,0,0
14753,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
14760,PRP|MD|VB|RB,VB,MOD shall,MOD shall,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
14769,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
14783,MD|VB,VB,FUT,FUT,MD|VB|IN,VB,FUT,FUT,1,FUT,FUT,1,1
14789,MD|VB|RB,VB,FUT,FUT,PRP|MD|VB|RB,VB,FUT,FUT,1,FUT,FUT,1,1
14898,MD|VB,VB,FUT,FUT,MD|VB|IN,VB,FUT,FUT,1,FUT,FUT,1,1
14908,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
14918,PRP|VBP|RB,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
14925,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
14992,VBD|VBN,VBD|VBN,PAST,PAST,VBD|VBN,VBD|VBN,PAST,PAST,1,PAST,PAST,1,1
14998,DT|NNS|MD|VB,VB,MOD would,MOD would,DT|NNS|MD|VB,VB,MOD would,MOD would,1,MOD would,MOD would,1,1
15008,VB,VB,MOD would,MOD would,VB,VB,MOD would,MOD would,1,MOD would,MOD would,1,1
15013,VBD|RB,VBD,MOD,MOD,PRP|MD|VB,VB,MOD would,MOD would,1,MOD ~ MOD would,MOD ~ MOD would,0,0
15094,VBZ|VBN,VBZ|VBN,PRES,PRES,VBZ|VBN|VBN,VBZ|VBN|VBN,PRES PERF,PRES PERF,1,PRES ~ PRES PERF,PRES ~ PRES PERF,0,0
15104,PRP|VBP,VBP,PRES,PRES,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ PRES,FUT ~ PRES,0,0
15249,MD|PRP|VB,VB,MOD should,MOD should,MD|PRP|VB,VB,MOD should,MOD should,1,MOD should,MOD should,1,1
16121,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
16124,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
16317,,,,,,,,,0,,,0,0
16326,MD|VB,VB,MOD would,MOD would,MD|VB,VB,MOD would,MOD would,1,MOD would,MOD would,1,1
16351,MD|VB,VB,MOD would,MOD would,VBD,VBD,PAST,PAST,1,MOD would ~ PAST,MOD would ~ PAST,0,0
16483,VBD,VBD,PAST,PAST,VBG,VBG,PRES PART,PRES PART,1,PAST ~ PRES PART,PAST ~ PRES PART,0,0
16502,NN,,,,VBD|NN|IN,VBD,PAST,PAST,0,,,0,0
16515,,,,,NNP,,,,0,,,0,0
17241,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
17600,NNS,,,,VBZ,VBZ,PRES,PRES,0,,,0,0
17602,,,,,,,,,0,,,0,0
17676,VB,VB,MOD may,MOD may,VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0
17687,VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
17779,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
17795,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
17844,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,TO INF,TO INF,1,MOD shall ~ TO INF,MOD shall ~ TO INF,0,0
18251,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
18313,VBN|JJ,VBN,,,VBP|VBN|RB,VBP|VBN,PRES,PRES,0,,,0,0
18317,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
18537,VBD|NN,VBD,PAST,PAST,VBD|JJ,VBD,PAST,PAST,1,PAST,PAST,1,1
18720,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
18730,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
18733,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
18745,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
18749,PRP|MD|VB|VBN,VB|VBN,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
19028,PRP|VBP|PRP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
19031,VB,VB,PRES,PRES,VB,VB,PRES,PRES,1,PRES,PRES,1,1
19033,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
20223,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
20531,PRP|MD|VB,VB,FUT,FUT,VB,VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0
20659,VB,VB,PRES,PRES,VB|RP,VB,FUT,FUT,1,FUT ~ PRES,FUT ~ PRES,0,0
20914,NNP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
20969,,,,,,,,,0,,,0,0
20976,PRP|MD|VB|DT|NN,VB,MOD would,MOD would,PRP|VBD|PRP$|NN,VBD,PAST,PAST,1,MOD would ~ PAST,MOD would ~ PAST,0,0
21629,NN,,,,NN,,,,0,,,0,0
22141,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
22145,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
22167,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
22172,VB,VB,TO INF,TO INF,VB,VB,IMPV,IMPV,1,IMPV ~ TO INF,IMPV ~ TO INF,0,0
22176,VB|IN,VB,MOD VB,MOD VB,VB|IN,VB,IMPV,IMPV,1,IMPV ~ MOD VB,IMPV ~ MOD VB,0,0
22271,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
22276,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
22883,EX|MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
22889,MD|VB|VBN,VB|VBN,FUT,FUT,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT,FUT,1,1
22897,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
22967,VB|CD|HYPH|NN,VB,TO INF,TO INF,VB|DT|NN,VB,TO INF,TO INF,1,TO INF,TO INF,1,1
23000,VB|PRP|VB,VB|VB,MOD let,MOD let,TO|VB|VBN,VB|VBN,TO INF,TO INF,1,MOD let ~ TO INF,MOD let ~ TO INF,0,0
23002,MD|VB,VB,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,MOD should,MOD should,1,MOD shall ~ MOD should,MOD shall ~ MOD should,0,0
24124,MD|VB|IN,VB,MOD should,MOD should,VBZ|IN,VBZ,PRES,PRES,1,MOD should ~ PRES,MOD should ~ PRES,0,0
24133,PRP|MD|VB|RP,VB,MOD would,MOD would,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT ~ MOD would,FUT ~ MOD would,0,0
24303,VBD,VBD,,,VBD,VBD,,,0,,,0,0
24307,VB|PRP|VB|DT|NN,VB|VB,MOD let,MOD let,PRP|MD|VB|DT|NN,VB,FUT,FUT,1,FUT ~ MOD let,FUT ~ MOD let,0,0
24396,MD|PRP|VB|RB,VB,MOD may,MOD may,PRP|MD|VB|VB|RB,VB|VB,MOD let,MOD let,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0
24912,PRP|VBP,VBP,PRES,PRES,PRP|VBP|RP|IN,VBP,PRES,PRES,1,PRES,PRES,1,1
24914,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
24994,MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
25241,PRP|MD|VB,VB,MOD should,MOD should,PRP|VBZ,VBZ,PRES,PRES,1,MOD should ~ PRES,MOD should ~ PRES,0,0
25245,PRP$|NN|MD|VB,VB,MOD would,MOD would,MD|VB,VB,FUT,FUT,1,FUT ~ MOD would,FUT ~ MOD would,0,0
25296,PRP|MD|VB|RB,VB,FUT,FUT,MD|PRP|VB,VB,FUT,FUT,1,FUT,FUT,1,1
25340,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
25348,VBZ,VBZ,PRES,PRES,VBZ|IN,VBZ,PRES,PRES,1,PRES,PRES,1,1
25351,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
25375,,,,,,,,,0,,,0,0
25383,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
25385,MD|VB|RP,VB,FUT,FUT,MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
25410,PRP|MD|VB|DT|NN,VB,MOD shall,MOD shall,PRP|MD|VB|DT|NN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
25625,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
25643,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
25648,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
25666,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
25697,PRP|MD|VB,VB,MOD must,MOD must,VB,VB,IMPV,IMPV,1,IMPV ~ MOD must,IMPV ~ MOD must,0,0
25711,VB,VB,IMPV,IMPV,RB,,,,0,,,0,0
25713,VB|RB,VB,IMPV,IMPV,VB|RB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
25822,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
25826,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
26520,,,,,,,,,0,,,0,0
26526,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
26530,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD should,MOD should,1,MOD shall ~ MOD should,MOD shall ~ MOD should,0,0
26689,VBD,VBD,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
27077,VBD|IN,VBD,PAST,PAST,VBD|NN,VBD,PAST,PAST,1,PAST,PAST,1,1
27110,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD shall,MOD can ~ MOD shall,0,0
27115,,,,,VBZ|RP,VBZ,PRES,PRES,0,,,0,0
27120,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
27156,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
27255,VB,VB,TO INF,TO INF,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ TO INF,FUT ~ TO INF,0,0
27266,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|VBP,VBP,PRES,PRES,1,MOD let ~ PRES,MOD let ~ PRES,0,0
27270,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
27274,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
27364,VB,VB,IMPV,IMPV,MD|VB|NNS,VB,FUT,FUT,1,FUT ~ IMPV,FUT ~ IMPV,0,0
27366,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
27371,MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
27749,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
27753,MD|VB|RB,VB,FUT,FUT,VB|RB,VB,FUT,FUT,1,FUT,FUT,1,1
28056,VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
28709,VB|RP,VB,FUT,FUT,VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
28741,PRP|MD|VB|RP,VB,MOD shall,MOD shall,PRP|MD|VB|RP,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
28866,,,,,PRP|MD|VB,VB,FUT,FUT,0,,,0,0
28871,VBP,VBP,PRES,PRES,MD|VB,VB,FUT,FUT,1,FUT ~ PRES,FUT ~ PRES,0,0
28877,VB,VB,MOD lest,MOD lest,VB,VB,IMPV,IMPV,1,IMPV ~ MOD lest,IMPV ~ MOD lest,0,0
28880,VB,VB,MOD lest,MOD lest,VB,VB,FUT,FUT,1,FUT ~ MOD lest,FUT ~ MOD lest,0,0
28982,VB,VB,PRES,PRES,VB,VB,PRES,PRES,1,PRES,PRES,1,1
28990,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
28997,PRP|MD|VB,VB,MOD shall,MOD shall,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let ~ MOD shall,MOD let ~ MOD shall,0,0
29065,VB|NN,VB,PRES,PRES,VB|NN,VB,PRES,PRES,1,PRES,PRES,1,1
29246,VB,VB,MOD quest shall,MOD shall,VB,VB,MOD quest shall,MOD shall,1,MOD quest shall,MOD shall,1,1
29922,VB,VB,PRES,PRES,VB,VB,PRES,PRES,1,PRES,PRES,1,1
