genre,domain2,PAST..IND ~ PRES.PERF.IND,PRES..IND ~ PRES.PERF.IND,PAST..IND ~ PAST.PERF.IND,PAST..IND ~ PRES..IND,FUT..IND ~ PRES..IND,FUT..IND ~ PRES.PERF.IND,PAST..IND ~ PRES..,PAST.PERF.IND ~ PRES.PERF.IND,FUT..IND ~ PRES..MOD,PAST..IND ~ PAST.PROG.IND,PRES.. ~ PRES.PERF.IND,PAST..IND ~ PRES..MOD,PRES.PERF.IND ~ PRES.PROG.IND,PAST..IND ~ PAST..SUBJ,PRES..IND ~ PRES..MOD,PRES..IND ~ PRES.PROG.IND,.. ~ PAST..IND,PRES.. ~ PRES..IND,PRES..MOD ~ PRES.PERF.IND,FUT..IND ~ PAST..IND,.. ~ PRES.PERF.IND,.. ~ PRES..IND,PAST.PERF.IND ~ PAST.PROG.IND,PRES.PERF.IND ~ PRES.PERF_PROG.IND,PAST..IND ~ PRES.PROG.IND,PAST..SUBJ ~ PRES.PERF.IND,PAST..SUBJ ~ PRES..MOD,PAST.PERF.IND ~ past.PERF_PROG.IND,PAST.PROG.IND ~ PRES.PERF.IND,.. ~ PAST..SUBJ,PAST.PERF.IND ~ PRES..IND,PAST.PERF.IND ~ PRES..MOD,PAST.PROG.IND ~ PRES..,.. ~ PAST.PERF.IND,PRES.. ~ PRES..MOD,FUT..IND ~ PRES..,.. ~ PRES..MOD,PAST..SUBJ ~ PAST.PERF.IND,.. ~ PRES..,PAST.PERF.IND ~ PRES..,FUT..IND ~ FUT..MOD,FUT..IND ~ FUT.PERF.IND,PRES.PERF_PROG.IND ~ PRES.PROG.IND,FUT..IND ~ PAST..SUBJ,FUT..IND ~ PRES.PROG.IND,FUT..MOD ~ PRES.PERF.IND,FUT.PERF.IND ~ PRES.PERF.IND,PAST..IND ~ past.PERF_PROG.IND,PAST..SUBJ ~ PRES..,PAST..SUBJ ~ PRES..IND,PAST.PROG.IND ~ PRES..IND,PAST.PROG.IND ~ past.PERF_PROG.IND,PRES.. ~ PRES.PROG.IND,.. ~ FUT..IND
prophetic,Q,0.25,0.22,0.05,0.08,0.11,0.1,0.01,0.01,0.05,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prose,Q,0.47,0.14,0.06,0.07,0.02,0.01,0.01,0.06,0.01,0.01,0.03,0.0,0.03,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poetry,Q,0.26,0.3,0.04,0.16,0.04,0.02,0.02,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.02,0.0,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prose,N,0.01,0.01,0.66,0.02,0.0,0.0,0.11,0.01,0.0,0.05,0.0,0.03,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,Q,0.34,0.34,0.04,0.19,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prophetic,N,0.03,0.09,0.41,0.03,0.0,0.19,0.09,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruction,N,0.0,0.0,0.83,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
list,N,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poetry,N,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
list,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
