eng_TAMsimp,N,Q,?
PAST,0.41,-0.41,0.0
PAST ~ PRES PART,-0.05,0.05,-0.0
PRES,-0.7,0.7,-0.0
PAST ~ PAST PERF,0.1,-0.1,-0.0
PRES PERF,-0.79,0.79,-0.0
PAST ~ PRES PERF,-0.8,0.8,-0.0
PAST ~ PRES,-0.51,0.51,-0.0
PAST ~ TO INF,0.05,-0.05,-0.0
PAST PERF,0.12,-0.12,-0.0
PRES ~ PRES PERF,-0.7,0.7,-0.0
PAST ~ PAST PROG,0.15,-0.15,-0.0
PRES PART,-0.27,0.27,-0.0
FUT ~ PRES,-0.52,0.52,-0.0
MOD would,-0.27,0.27,-0.0
MOD could ~ PAST,0.06,-0.06,-0.0
TO INF,-0.25,0.25,-0.0
FUT ~ PAST,-0.35,0.35,-0.0
MOD let ~ PAST,-0.18,0.18,-0.0
PRES ~ PRES PART,-0.68,0.68,-0.0
PRES ~ TO INF,-0.85,0.85,-0.0
PRES PART ~ PRES PERF,-0.85,0.85,-0.0
PAST PROG,0.15,-0.15,-0.0
PRES ~ PRES PROG,-0.85,0.85,-0.0
MOD would ~ PAST,-0.05,0.05,-0.0
IMPV ~ PAST,0.15,-0.15,-0.0
FUT ~ PRES PERF,-0.45,0.45,-0.0
PAST PERF ~ PRES PERF,-0.85,0.85,-0.0
PAST PERF ~ PRES PART,-0.18,0.18,-0.0
PRES PERF ~ TO INF,-0.85,0.85,-0.0
PAST ~ VB,-0.18,0.18,-0.0
MOD let,-0.18,0.18,-0.0
FUT ~ MOD shall,-0.85,0.85,-0.0
FUT,-0.85,0.85,-0.0
PRES PERF ~ PRES PROG,-0.85,0.85,-0.0
MOD may ~ PAST,-0.35,0.35,-0.0
MOD can ~ PRES,0.15,-0.15,-0.0
PRES PERF PROG,-0.85,0.85,-0.0
MOD is to ~ PRES PERF,-0.85,0.85,-0.0
FUT ~ PRES PART,-0.85,0.85,-0.0
FUT ~ MOD would,-0.85,0.85,-0.0
PRES PART ~ TO INF,0.15,-0.15,-0.0
IMPV ~ PRES,-0.85,0.85,-0.0
IMPV ~ PRES PART,0.15,-0.15,-0.0
MOD can ~ PAST,-0.85,0.85,-0.0
MOD could ~ MOD might,-0.85,0.85,-0.0
MOD might ~ PRES PERF,-0.85,0.85,-0.0
PAST ~ PAST PERF PROG,0.15,-0.15,-0.0
MOD let ~ MOD may,-0.85,0.85,-0.0
MOD must ~ PAST,-0.85,0.85,-0.0
MOD let ~ PRES,0.15,-0.15,-0.0
PAST PROG ~ PRES PERF PROG,-0.85,0.85,-0.0
PAST PROG ~ PRES PERF,0.15,-0.15,-0.0
PAST PROG ~ PRES PART,0.15,-0.15,-0.0
MOD let ~ PRES PART,0.15,-0.15,-0.0
PAST PERF ~ TO INF,0.15,-0.15,-0.0
MOD may,-0.85,0.85,-0.0
MOD would ~ PRES,-0.85,0.85,-0.0
MOD may ~ PRES,-0.85,0.85,-0.0
MOD should ~ TO INF,-0.85,0.85,-0.0
MOD should ~ PRES,-0.85,0.85,-0.0
MOD should ~ MOD would,0.15,-0.15,-0.0
MOD must ~ PRES,0.15,-0.15,-0.0
??VB ~ PAST,-0.85,0.85,-0.0
