eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,65,67,32,18,1
PAST ~ PAST PROG,85,18,0,0,0
PAST ~ PRES PART,61,24,2,0,7
PRES ~ PRES PROG,45,31,4,7,1
PAST ~ PRES,17,19,20,3,2
FUT ~ PRES,18,27,4,5,0
FUT ~ MOD shall,33,18,0,0,0
PRES ~ PRES PERF,14,16,16,2,0
PAST PROG ~ PRES PART,32,6,1,0,0
FUT ~ FUT going-to,19,17,0,0,0
PAST ~ PRES PERF,15,11,4,1,0
PAST ~ PAST PERF,22,2,0,1,1
PRES PART ~ PRES PROG,18,6,1,0,0
FUT ~ PRES PROG,5,17,0,0,0
FUT ~ PRES PART,3,11,3,1,0
PAST ~ TO INF,14,1,0,0,1
FUT ~ TO INF,3,8,1,0,0
MOD may ~ PRES,5,3,3,1,0
FUT going-to ~ PRES,6,3,0,2,0
MOD could ~ PAST,5,0,0,0,6
FUT going-to ~ PRES PROG,2,6,0,2,0
PRES ~ TO INF,3,2,5,0,0
PRES PART ~ TO INF,3,5,1,1,0
IMPV ~ PRES,3,3,1,1,0
MOD is to ~ PRES,2,2,2,2,0
MOD can ~ PRES,3,1,0,2,1
PRES PART ~ PRES PERF,2,4,0,0,0
MOD shall ~ PRES,1,2,1,1,0
PAST PERF ~ PAST PROG,3,2,0,0,0
MOD would ~ PRES,4,0,0,0,0
FUT ~ MOD must,2,0,2,0,0
MOD would ~ PAST,4,0,0,0,0
MOD is to ~ MOD shall,1,0,0,2,1
PAST ~ PRES PROG,0,4,0,0,0
IMPV ~ MOD may,4,0,0,0,0
FUT going-to ~ MOD shall,2,2,0,0,0
PAST ~ PAST PERF PROG,4,0,0,0,0
PAST PROG ~ PRES,0,1,2,1,0
MOD is to ~ PRES PART,0,2,0,1,0
FUT ~ MOD is to,3,0,0,0,0
PRES PERF PROG ~ PRES PROG,2,0,1,0,0
MOD can ~ MOD shall,1,2,0,0,0
FUT PROG ~ PRES PART,3,0,0,0,0
MOD shall ~ TO INF,0,2,0,1,0
MOD can ~ TO INF,0,2,1,0,0
MOD should ~ MOD would,1,2,0,0,0
PRES ~ PRES PERF PROG,1,2,0,0,0
MOD should ~ TO INF,3,0,0,0,0
MOD let ~ PRES,1,1,0,1,0
MOD was to ~ PAST,2,0,0,0,1
PRES PERF ~ PRES PROG,2,1,0,0,0
PRES ~ PRES PROG keep,0,2,0,0,0
MOD must ~ MOD shall,2,0,0,0,0
MOD may ~ PAST,1,0,1,0,0
MOD is to ~ TO INF,0,0,0,2,0
MOD may ~ TO INF,0,0,2,0,0
PAST PERF PROG ~ PAST PROG,2,0,0,0,0
MOD must ~ PRES,2,0,0,0,0
FUT going-to ~ PRES PART,2,0,0,0,0
PRES PART ~ PRES PERF PROG,2,0,0,0,0
FUT ~ PAST PROG,0,2,0,0,0
MOD can ~ PRES PART,2,0,0,0,0
FUT ~ MOD may,0,0,2,0,0
MOD was to ~ PAST PROG,2,0,0,0,0
PAST PERF ~ PRES PART,2,0,0,0,0
PAST PERF ~ PRES,1,1,0,0,0
PAST PERF ~ PAST PERF PROG,2,0,0,0,0
MOD was to ~ TO INF,2,0,0,0,0
HAB used to ~ PAST PERF,1,0,0,0,0
TO INF ~ VB,1,0,0,0,0
HAB used to ~ PAST,1,0,0,0,0
FUT ~ VB,1,0,0,0,0
FUT ~ PAST,1,0,0,0,0
FUT ~ MOD would,0,0,1,0,0
FUT ~ MOD can,0,0,1,0,0
FUT ~ FUT PROG,1,0,0,0,0
IMPV ~ PAST,0,0,0,0,1
MOD shall ~ PRES PART,0,1,0,0,0
IMPV ~ PRES PROG,1,0,0,0,0
MOD should ~ PRES PERF,0,1,0,0,0
PRES PROG ~ TO INF,0,1,0,0,0
PRES PROG ~ PRES PROG keep,0,1,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0
PRES PERF ~ PRES PERF PROG,1,0,0,0,0
PAST ~ VB,0,1,0,0,0
PAST PROG ~ TO INF,1,0,0,0,0
MOD would ~ PRES PROG,1,0,0,0,0
MOD would ~ PRES PERF,0,1,0,0,0
MOD was to ~ PRES PART,1,0,0,0,0
MOD that VB ~ PRES PART,1,0,0,0,0
MOD should ~ PRES,0,1,0,0,0
MOD can ~ MOD may,0,1,0,0,0
MOD should ~ PAST,1,0,0,0,0
MOD should ~ MOD was to,1,0,0,0,0
MOD shall ~ PRES PERF,0,1,0,0,0
MOD shall ~ PAST,1,0,0,0,0
MOD need not ~ TO INF,0,1,0,0,0
MOD must ~ PRES PART,1,0,0,0,0
MOD may ~ PRES PART,0,0,1,0,0
MOD let ~ TO INF,1,0,0,0,0
MOD is to ~ MOD would,1,0,0,0,0
MOD could ~ PRES PART,0,0,0,1,0
FUT PROG ~ MOD is to,1,0,0,0,0
