,sum
PAST ~ PRES PART,196
PAST ~ PAST PERF,183
PAST ~ PRES PERF,116
PAST ~ PRES,93
PAST ~ TO INF,78
PRES ~ PRES PERF,45
PAST ~ PAST PROG,27
FUT ~ PRES,18
MOD could ~ PAST,11
FUT ~ PAST,8
MOD let ~ PAST,6
PRES ~ PRES PART,6
PRES ~ TO INF,5
PRES PART ~ PRES PERF,5
PRES ~ PRES PROG,5
IMPV ~ PAST,5
MOD would ~ PAST,5
FUT ~ PRES PERF,5
PAST PERF ~ PRES PERF,4
PAST PERF ~ PRES PART,3
PAST ~ VB,3
FUT ~ MOD shall,3
PRES PERF ~ TO INF,3
MOD can ~ PRES,2
MOD may ~ PAST,2
PRES PERF ~ PRES PROG,2
PAST PROG ~ PRES PERF,1
MOD let ~ PRES PART,1
IMPV ~ PRES,1
MOD should ~ MOD would,1
MOD must ~ PRES,1
??VB ~ PAST,1
MOD let ~ PRES,1
PAST PERF ~ TO INF,1
MOD could ~ MOD might,1
MOD can ~ PAST,1
MOD would ~ PRES,1
MOD should ~ PRES,1
MOD might ~ PRES PERF,1
PAST PROG ~ PRES PART,1
MOD let ~ MOD may,1
FUT ~ PRES PART,1
FUT ~ MOD would,1
MOD must ~ PAST,1
PAST ~ PAST PERF PROG,1
PRES PART ~ TO INF,1
MOD may ~ PRES,1
MOD should ~ TO INF,1
IMPV ~ PRES PART,1
MOD is to ~ PRES PERF,1
PAST PROG ~ PRES PERF PROG,1
