cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
RV,0.47,0.25,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.31,0.31,0.35,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,0.37,0.12,0.48,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
_W_SV,0.68,0.11,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_V,0.33,0.32,0.19,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV,0.44,0.27,0.26,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_AV,0.77,0.15,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_V,0.59,0.22,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_OV,0.75,0.13,0.08,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_V,0.46,0.19,0.1,0.04,0.0,0.1,0.09,0.01,0.01,0.0,0.0,0.0,0.0,0.0
OV,0.42,0.33,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QV,0.12,0.57,0.12,0.15,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_AV,0.26,0.23,0.41,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_SV,0.19,0.5,0.2,0.09,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_OV,0.17,0.55,0.13,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.2,0.49,0.23,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
_>M_V,0.14,0.46,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAV,0.41,0.22,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SAV,0.4,0.09,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV,0.5,0.22,0.22,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
_W_RV,0.59,0.21,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISV,0.2,0.36,0.36,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
_W_IV,0.32,0.41,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAV,0.35,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_OAV,0.67,0.06,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAV,0.22,0.28,0.39,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_QV,0.33,0.33,0.06,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W__KJ_V,0.41,0.24,0.0,0.29,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
AOV,0.25,0.19,0.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W__>M_V,0.07,0.2,0.67,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSV,0.13,0.07,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SOV,0.31,0.15,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
_J<N/_V,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>W_V,0.09,0.09,0.73,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAV,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ__>M_V,0.2,0.1,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
IOV,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W__>CR_V,0.44,0.22,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_<D_V,0.44,0.11,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
_W_ASV,0.38,0.12,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_ISV,0.88,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>M_IV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSV,0.29,0.14,0.0,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
