eng_TAMsimp,TOTAL,"('prophetic', 'Q')","('prose', 'Q')","('instruction', 'Q')","('poetry', 'Q')","('prose', 'N')","('instruction', 'D')","('prophetic', '?')","('list', 'N')","('prophetic', 'D')","('instruction', '?')","('prose', 'D')","('list', 'Q')","('instruction', 'N')","('poetry', '?')","('prophetic', 'N')","('prose', '?')","('poetry', 'D')","('list', '?')"
HAB used to ~ PAST,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
IMPV ~ MOD may,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD shall ~ MOD should,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PERF,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD may,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD can ~ PRES,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD would,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
HAB used to,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD was to,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
FUT ~ FUT going-to,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD should,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD must,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES PART,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD can ~ TO INF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PROG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD would ~ TO INF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FUT PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD might,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ VB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HAB used to ~ PRES PART,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD VB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
