,sum
FUT ~ MOD shall,1062
IMPV ~ MOD shall,418
MOD is to ~ MOD shall,308
MOD must ~ MOD shall,153
FUT ~ PRES,110
PAST ~ PRES,64
MOD shall ~ PRES,56
FUT ~ MOD may,54
MOD shall ~ TO INF,28
PRES ~ PRES PART,27
PRES ~ PRES PERF,26
MOD would ~ PAST,24
FUT ~ MOD lest,24
MOD may ~ TO INF,23
MOD may ~ PRES,21
FUT ~ IMPV,19
PRES ~ TO INF,19
MOD may ~ MOD shall,18
PAST ~ PRES PART,17
FUT ~ TO INF,16
MOD shall ~ PRES PART,16
IMPV ~ PRES,15
IMPV ~ MOD let,14
PAST ~ PRES PERF,13
IMPV ~ TO INF,13
FUT ~ PRES PART,12
FUT ~ MOD let,12
MOD can ~ MOD may,11
FUT ~ MOD would,11
MOD can ~ MOD shall,10
MOD shall ~ PAST,9
MOD let ~ MOD shall,9
FUT ~ PAST,8
MOD is to ~ PRES,8
MOD let ~ MOD may,8
MOD is to ~ MOD let,8
PAST ~ PAST PROG,7
MOD lest ~ TO INF,7
PAST ~ TO INF,7
MOD is to ~ PAST,7
MOD lest ~ MOD may,7
MOD shall ~ PRES PERF,6
FUT ~ PRES PERF,6
IMPV ~ MOD lest,5
MOD may ~ MOD must,5
IMPV ~ PAST,5
MOD would ~ PRES,5
MOD shall ~ MOD would,5
FUT ~ MOD can,4
IMPV ~ MOD must,4
FUT ~ FUT PERF,4
MOD let ~ TO INF,4
MOD should ~ PRES,4
MOD shall ~ MOD should,4
IMPV ~ MOD may,4
HAB used to ~ PAST,4
MOD can ~ PRES,3
MOD could ~ MOD may,3
HAB used to ~ MOD would,3
PAST ~ PAST PERF,3
MOD is to ~ TO INF,3
MOD should ~ TO INF,3
IMPV ~ MOD would,3
MOD VB ~ PRES,3
FUT ~ FUT going-to,3
PRES ~ PRES PROG,2
MOD lest ~ PRES PART,2
PRES PART ~ PRES PERF,2
MOD would ~ PRES PART,2
MOD let ~ PRES,2
MOD lest ~ MOD must,2
MOD was to ~ PAST,2
MOD must ~ PRES,2
MOD must ~ PRES PART,2
IMPV ~ MOD is to,2
MOD lest ~ MOD might,2
MOD may ~ MOD should,2
MOD can ~ MOD let,2
FUT going-to ~ MOD shall,2
MOD that be ~ TO INF,2
FUT ~ MOD must,2
MOD let ~ MOD must,2
MOD may ~ PRES PART,2
IMPV ~ PRES PART,2
MOD would ~ TO INF,1
MOD could ~ TO INF,1
PAST PERF ~ PRES PART,1
MOD is to ~ MOD may,1
HAB used to ~ PRES PART,1
PRES ~ VB,1
MOD ~ MOD would,1
FUT ~ MOD VB,1
FUT ~ MOD should,1
MOD let ~ PRES PART,1
FUT ~ MOD that be,1
MOD might ~ MOD would,1
FUT ~ MOD is to,1
IMPV ~ MOD VB,1
PAST PROG ~ TO INF,1
MOD VB ~ MOD can,1
PRES PERF ~ TO INF,1
MOD is to ~ MOD lest,1
FUT ~ FUT PROG,1
MOD quest must ~ MOD shall,1
MOD would ~ PRES PROG,1
MOD can ~ TO INF,1
MOD let ~ MOD would,1
MOD lest ~ PRES,1
MOD could ~ MOD would,1
MOD let ~ MOD should,1
MOD is to ~ PRES PART,1
MOD let ~ MOD might,1
HAB used to ~ PAST PROG,1
MOD should ~ MOD would,1
