eng_TAMsimp,TOTAL,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
FUT PROG ~ PRES,3,2,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,3,0,1,0,2,0,0,0,0,0,0,0
MOD need not ~ MOD shall,3,3,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,3,1,1,0,0,0,1,0,0,0,0,0
MOD would ~ PRES PART,3,2,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,3,0,2,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,3,0,1,0,0,0,2,0,0,0,0,0
MOD may ~ PAST,3,1,0,1,1,0,0,0,0,0,0,0
MOD may ~ MOD might,3,0,2,1,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,1,0,1,0,0,0,1,0,0,0,0
MOD let ~ PRES PERF,3,1,1,0,0,0,1,0,0,0,0,0
MOD let ~ MOD would,3,0,0,0,1,0,1,0,0,0,1,0
IMPV ~ MOD is to,3,0,1,0,0,0,1,0,1,0,0,0
MOD lest ~ MOD would,3,3,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD must,2,0,1,0,0,1,0,0,0,0,0,0
?VB ~ MOD shall,2,1,0,0,0,1,0,0,0,0,0,0
??VB ~ MOD let,2,2,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,2,0,0,2,0,0,0,0,0,0,0,0
MOD is to ~ PRES,2,0,0,0,0,2,0,0,0,0,0,0
MOD can ~ MOD must,2,1,1,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,2,0,1,1,0,0,0,0,0,0,0,0
MOD that be,2,1,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD that be,2,1,0,1,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,2,0,0,1,0,1,0,0,0,0,0,0
MOD lest ~ MOD should,2,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,2,1,0,0,0,1,0,0,0,0,0,0
MOD is to ~ TO INF,2,1,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,2,0,0,1,0,0,0,1,0,0,0,0
MOD could ~ TO INF,2,0,0,1,0,0,1,0,0,0,0,0
PRES PROG,2,0,1,1,0,0,0,0,0,0,0,0
PRES ~ PRES do,2,1,0,1,0,0,0,0,0,0,0,0
FUT PERF,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD,1,0,1,0,0,0,0,0,0,0,0,0
MOD quest must,1,1,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,0,0,0,1,0,0,0,0,0
PRES ~ PRES shall,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0
?VB ~ IMPV,1,0,0,0,0,1,0,0,0,0,0,0
?VB ~ MOD lest,1,0,1,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,1,0,0,0,0,1,0,0,0,0,0,0
MOD was to ~ PRES,1,0,0,0,0,0,1,0,0,0,0,0
MOD would ~ PAST PERF,1,0,1,0,0,0,0,0,0,0,0,0
MOD ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,1,1,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,1,0,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,1,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,1,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ TO INF,1,0,0,0,1,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,1,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,1,0,1,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,1,0,0,1,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,1,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ PRES shall,1,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,1,0,0,0,0,0,0,1,0,0,0,0
MOD VB ~ TO INF,1,0,1,0,0,0,0,0,0,0,0,0
MOD could ~ PAST PERF,1,0,0,0,1,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD should,1,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,1,0,0,0,1,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,1,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ VB,1,0,0,0,0,1,0,0,0,0,0,0
HAB used to ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,1,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,0,0,0,0,0,0,0,0,1,0,0
MOD may ~ MOD would,1,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,1,1,0,0,0,0,0,0,0,0,0,0
