eng_TAMsimp,V,RV,_W_SV,RSV,_W_V,SV,CV,ISV,QSV,ASV,CSV,_W_ISV,AV,_W_ASV,_W_RV,CASV,QV,OSV,_W_SAV,COSV,_W_AV,IV,_W_IV,CISV,_W_OSV,_W_QSV,_W_OV,_W_QV,_W_CV,SAV,OV,QASV,CAV,_W_IASV,QOSV,IASV,CQV,COV,_W_CSV,_W_IAV,CIV,CSAV,_W_CAV,_W_CASV,CAOV,SOV,COASV,ROV,ARSV,QAV,OASV,CIASV,IISV,_W_SOV,ACV
PRES,519,363,57,87,100,99,40,14,46,20,27,2,13,16,15,6,15,12,5,3,3,3,1,0,2,3,4,4,5,2,4,0,1,0,0,0,2,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
PAST,95,203,127,11,34,40,5,0,0,2,3,9,9,2,7,3,0,1,6,0,7,0,2,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,123,16,24,2,22,12,0,1,9,5,1,8,1,1,1,0,4,1,2,0,0,0,1,0,1,2,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG,11,10,6,69,3,9,8,30,3,3,2,0,0,1,0,3,2,5,0,5,2,2,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
PRES ~ PRES PART,55,43,3,6,13,3,1,2,2,4,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT,50,2,4,3,3,8,12,14,0,9,0,1,2,2,0,5,3,2,0,2,1,0,0,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,14,12,6,44,1,10,5,6,1,3,4,2,1,2,0,2,0,2,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PAST PROG,3,15,62,2,0,17,1,0,0,0,3,5,0,2,0,2,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,6,27,39,3,2,7,3,0,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,28,20,11,0,9,6,0,0,0,0,0,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,15,32,0,1,6,2,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,18,1,4,7,8,3,3,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,12,8,1,4,2,8,3,0,1,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD shall,17,1,2,0,12,7,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,2,20,2,1,0,2,2,4,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,2,34,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,24,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,8,2,13,0,2,5,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,18,0,1,3,2,0,2,4,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,5,18,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,8,0,1,3,0,2,3,6,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,4,2,4,9,0,1,0,2,1,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,2,15,1,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PAST ~ TO INF,3,2,0,1,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,4,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,6,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES,2,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES PROG,5,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
