eng_TAMsimp,V,RV,_W_SV,RSV,_W_V,SV,CV,ISV,QSV,ASV,CSV,_W_ISV,AV,_W_ASV,_W_RV,CASV,QV,OSV,_W_SAV,COSV,_W_AV,IV,_W_IV,CISV,_W_OSV,_W_QSV,_W_OV,_W_QV,_W_CV,SAV,OV,QASV,CAV,_W_IASV,QOSV,IASV,CQV,COV,_W_CSV,_W_IAV,CIV,CSAV,_W_CAV,_W_CASV,CAOV,SOV,COASV,ROV,ARSV,QAV,OASV,CIASV,IISV,_W_SOV,ACV
PRES,0.11,0.04,-0.09,-0.02,-0.0,0.0,0.0,-0.02,0.02,-0.01,0.0,-0.02,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
PAST,-0.13,0.16,0.14,-0.06,-0.01,0.01,-0.02,-0.03,-0.02,-0.02,-0.01,0.01,0.01,-0.01,0.01,-0.0,-0.01,-0.01,0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,0.24,-0.16,0.0,-0.06,0.02,-0.02,-0.03,-0.02,0.02,0.0,-0.01,0.02,-0.01,-0.01,-0.0,-0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.01,0.0,-0.0,-0.0,0.01,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,-0.23,-0.17,-0.07,0.32,-0.05,-0.02,0.02,0.14,-0.0,-0.0,-0.0,-0.01,-0.01,-0.0,-0.01,0.01,0.0,0.02,-0.0,0.02,0.01,0.01,0.01,0.02,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.0,0.01,-0.0,-0.0
PRES ~ PRES PART,0.12,0.09,-0.08,-0.03,0.03,-0.04,-0.02,-0.01,-0.0,0.01,-0.02,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,0.11,-0.21,-0.07,-0.05,-0.05,-0.0,0.07,0.09,-0.02,0.05,-0.02,-0.0,0.01,0.01,-0.01,0.03,0.02,0.01,-0.0,0.01,0.0,-0.0,-0.0,0.01,0.01,-0.0,0.01,-0.0,0.01,-0.0,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.17,-0.13,-0.05,0.29,-0.06,0.02,0.01,0.03,-0.01,0.01,0.02,0.01,-0.0,0.01,-0.01,0.01,-0.01,0.01,0.0,0.01,-0.0,0.02,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
PAST PROG,-0.26,-0.1,0.43,-0.05,-0.07,0.08,-0.02,-0.02,-0.02,-0.02,0.01,0.03,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,0.04,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.22,0.06,0.31,-0.04,-0.05,0.01,0.01,-0.02,-0.02,-0.02,0.02,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,0.05,0.02,0.03,-0.07,0.04,0.01,-0.03,-0.02,-0.02,-0.02,-0.02,0.04,0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
