eng_TAMsimp,Main,SubAdv,SubMod
PAST,0.99,0.01,0.0
PAST ~ PRES PART,0.98,0.02,0.0
PAST ~ PAST PERF,0.95,0.05,0.0
PRES PERF,0.95,0.05,0.0
PRES,0.93,0.07,0.0
?PAST ~ PAST,0.99,0.01,0.0
PAST ~ PRES PERF,0.83,0.17,0.0
?PAST,1.0,0.0,0.0
PAST ~ PRES,0.91,0.09,0.0
PAST ~ TO INF,1.0,0.0,0.0
PAST PERF,0.91,0.09,0.0
PRES ~ PRES PERF,0.98,0.02,0.0
PAST ~ PAST PROG,0.96,0.04,0.0
PRES PART,0.85,0.15,0.0
FUT ~ PRES,1.0,0.0,0.0
?PRES,1.0,0.0,0.0
?PRES ~ PRES,0.92,0.08,0.0
MOD would,1.0,0.0,0.0
MOD could ~ PAST,1.0,0.0,0.0
TO INF,0.78,0.22,0.0
?VB ~ PAST,1.0,0.0,0.0
?PRES ~ PAST,1.0,0.0,0.0
FUT ~ PAST,1.0,0.0,0.0
?PAST ~ PRES PART,1.0,0.0,0.0
PAST PROG,1.0,0.0,0.0
?VB,1.0,0.0,0.0
PRES PART ~ PRES PERF,0.4,0.6,0.0
FUT ~ PRES PERF,1.0,0.0,0.0
PAST PERF ~ PRES PERF,1.0,0.0,0.0
MOD would ~ PAST,1.0,0.0,0.0
?PAST did not ~ PAST,1.0,0.0,0.0
PRES ~ PRES PART,1.0,0.0,0.0
PRES ~ PRES PROG,1.0,0.0,0.0
?TO INF ~ PAST,1.0,0.0,0.0
MOD let ~ PAST,1.0,0.0,0.0
?PAST ~ PRES,1.0,0.0,0.0
?PAST ~ ?VB,0.67,0.33,0.0
PRES ~ TO INF,1.0,0.0,0.0
IMPV ~ PAST,1.0,0.0,0.0
MOD let,1.0,0.0,0.0
FUT ~ MOD shall,1.0,0.0,0.0
PAST PERF ~ PRES PART,0.67,0.33,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0
??PAST,1.0,0.0,0.0
?PRES PERF ~ PRES,1.0,0.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0,0.0
?PAST ~ IMPV,1.0,0.0,0.0
?VB ~ PRES,1.0,0.0,0.0
?VB ~ PRES PERF,1.0,0.0,0.0
FUT,1.0,0.0,0.0
?PRES ~ ?PRES PERF,1.0,0.0,0.0
?PRES ~ PRES PERF,0.5,0.5,0.0
?FUT ~ PAST,1.0,0.0,0.0
?PRES PERF,1.0,0.0,0.0
MOD can ~ PRES,1.0,0.0,0.0
??VB ~ ?PAST question,1.0,0.0,0.0
MOD may ~ PAST,1.0,0.0,0.0
?PRES ~ PRES PART,1.0,0.0,0.0
?PAST wh-question,1.0,0.0,0.0
?PAST wh-question ~ ?PRES,1.0,0.0,0.0
?PAST question,1.0,0.0,0.0
?PAST do-support ~ PAST,1.0,0.0,0.0
?PAST wh-question ~ MOD let,1.0,0.0,0.0
?PAST did not ~ TO INF,1.0,0.0,0.0
?PAST wh-question ~ PAST,1.0,0.0,0.0
?PAST wh-question ~ TO INF,1.0,0.0,0.0
?PAST ~ ?TO INF,1.0,0.0,0.0
?MOD would ~ PAST,1.0,0.0,0.0
?PAST did not ~ ?PAST question,1.0,0.0,0.0
?PAST PERF ~ PAST PERF,1.0,0.0,0.0
?MOD would,1.0,0.0,0.0
?MOD let ~ PAST,1.0,0.0,0.0
?FUT ~ PRES PART,1.0,0.0,0.0
?FUT ~ PRES,1.0,0.0,0.0
?FUT ~ ?PRES,1.0,0.0,0.0
??VB ~ PRES PERF,1.0,0.0,0.0
??VB ~ PRES,1.0,0.0,0.0
??VB ~ PAST,1.0,0.0,0.0
??PRES ~ PAST,1.0,0.0,0.0
??PAST ~ PAST,1.0,0.0,0.0
??PAST ~ ?TO INF,1.0,0.0,0.0
??PAST ~ ?PAST,1.0,0.0,0.0
PRES PERF PROG,1.0,0.0,0.0
MOD let ~ PRES PART,1.0,0.0,0.0
PRES PART ~ TO INF,1.0,0.0,0.0
?PAST ~ PAST PERF,1.0,0.0,0.0
MOD may,1.0,0.0,0.0
MOD let ~ MOD may,1.0,0.0,0.0
MOD is to ~ PRES PERF,1.0,0.0,0.0
MOD may ~ PRES,1.0,0.0,0.0
MOD could ~ MOD might,1.0,0.0,0.0
IMPV ~ PRES PART,1.0,0.0,0.0
IMPV ~ PRES,0.0,1.0,0.0
MOD might ~ PRES PERF,0.0,1.0,0.0
MOD must ~ PAST,0.0,1.0,0.0
MOD must ~ PRES,1.0,0.0,0.0
MOD should ~ MOD would,1.0,0.0,0.0
FUT ~ MOD would,1.0,0.0,0.0
MOD should ~ PRES,1.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0
?TO INF ~ PRES,1.0,0.0,0.0
?TO INF,1.0,0.0,0.0
?PRES ~ TO INF,1.0,0.0,0.0
PAST PERF ~ TO INF,1.0,0.0,0.0
PAST PROG ~ PRES PART,1.0,0.0,0.0
?PRES ~ FUT,1.0,0.0,0.0
?PRES ~ ?VB,1.0,0.0,0.0
?PRES PERF ~ PAST,1.0,0.0,0.0
MOD let ~ PRES,1.0,0.0,0.0
?PAST ~ PRES PERF,1.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,1.0,0.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0,0.0
PAST PROG ~ PRES PERF,1.0,0.0,0.0
