eng_TAMsimp,TOTAL,p3,p2,p1
FUT,1330,430,78,822
FUT ~ MOD shall,1062,877,165,20
PRES,492,339,97,56
IMPV ~ MOD shall,418,30,388,0
IMPV,344,2,342,0
MOD is to ~ MOD shall,308,268,40,0
PAST,206,153,12,41
MOD shall,205,178,24,3
MOD must ~ MOD shall,153,121,31,1
FUT ~ PRES,110,70,23,17
MOD may,66,30,29,7
PAST ~ PRES,64,60,1,3
MOD shall ~ PRES,56,40,13,3
FUT ~ MOD may,54,44,5,5
PRES PERF,35,22,10,3
MOD shall ~ TO INF,28,20,8,0
PRES ~ PRES PART,27,23,4,0
PRES ~ PRES PERF,26,20,5,1
MOD would,25,23,2,0
TO INF,25,13,9,3
FUT ~ MOD lest,24,16,4,4
MOD would ~ PAST,24,23,0,1
MOD may ~ TO INF,23,12,6,5
MOD may ~ PRES,21,17,3,1
MOD let,21,14,3,4
FUT ~ IMPV,19,8,8,3
PRES ~ TO INF,19,10,7,2
MOD may ~ MOD shall,18,11,6,1
PAST ~ PRES PART,17,17,0,0
FUT ~ TO INF,16,7,4,5
MOD shall ~ PRES PART,16,10,6,0
IMPV ~ PRES,15,1,14,0
IMPV ~ MOD let,14,8,6,0
PRES PART,14,13,1,0
IMPV ~ TO INF,13,0,13,0
PAST ~ PRES PERF,13,7,1,5
FUT ~ MOD let,12,4,0,8
FUT ~ PRES PART,12,6,2,4
MOD can ~ MOD may,11,7,3,1
FUT ~ MOD would,11,7,1,3
MOD can ~ MOD shall,10,3,7,0
MOD shall ~ PAST,9,6,3,0
MOD let ~ MOD shall,9,6,2,1
MOD is to ~ PRES,8,5,3,0
MOD is to ~ MOD let,8,7,1,0
MOD let ~ MOD may,8,5,2,1
FUT ~ PAST,8,5,0,3
MOD is to ~ PAST,7,7,0,0
MOD lest ~ MOD may,7,2,2,3
PAST ~ TO INF,7,6,0,1
MOD lest ~ TO INF,7,5,2,0
PAST ~ PAST PROG,7,7,0,0
MOD shall ~ PRES PERF,6,3,3,0
FUT ~ PRES PERF,6,2,2,2
IMPV ~ MOD lest,5,2,1,2
MOD shall ~ MOD would,5,2,0,3
MOD may ~ MOD must,5,4,0,1
MOD can,5,4,0,1
MOD would ~ PRES,5,3,1,1
IMPV ~ PAST,5,0,5,0
MOD should ~ PRES,4,4,0,0
HAB used to ~ PAST,4,4,0,0
IMPV ~ MOD may,4,2,2,0
IMPV ~ MOD must,4,0,4,0
PAST PERF,4,3,0,1
MOD shall ~ MOD should,4,1,1,2
FUT ~ MOD can,4,3,1,0
MOD let ~ TO INF,4,3,0,1
FUT ~ FUT PERF,4,0,1,3
MOD should,4,3,1,0
MOD could ~ MOD may,3,3,0,0
PAST ~ PAST PERF,3,3,0,0
MOD can ~ PRES,3,3,0,0
MOD should ~ TO INF,3,2,1,0
IMPV ~ MOD would,3,3,0,0
MOD VB ~ PRES,3,3,0,0
MOD is to ~ TO INF,3,3,0,0
HAB used to ~ MOD would,3,3,0,0
HAB used to,3,3,0,0
MOD was to,3,3,0,0
FUT ~ FUT going-to,3,0,0,3
IMPV ~ MOD is to,2,0,2,0
MOD that be ~ TO INF,2,2,0,0
MOD was to ~ PAST,2,2,0,0
PRES ~ PRES PROG,2,0,2,0
FUT ~ MOD must,2,2,0,0
IMPV ~ PRES PART,2,0,2,0
MOD would ~ PRES PART,2,2,0,0
FUT going-to ~ MOD shall,2,0,2,0
PRES PART ~ PRES PERF,2,2,0,0
MOD may ~ PRES PART,2,1,1,0
MOD can ~ MOD let,2,2,0,0
MOD lest ~ MOD might,2,2,0,0
MOD may ~ MOD should,2,2,0,0
MOD let ~ PRES,2,1,0,1
MOD must ~ PRES,2,2,0,0
MOD let ~ MOD must,2,1,1,0
MOD lest ~ PRES PART,2,0,2,0
MOD lest ~ MOD must,2,2,0,0
MOD must ~ PRES PART,2,1,1,0
MOD is to ~ MOD may,1,0,1,0
MOD let ~ PRES PART,1,0,0,1
MOD should ~ MOD would,1,1,0,0
MOD let ~ MOD should,1,0,0,1
MOD let ~ MOD would,1,0,1,0
MOD can ~ TO INF,1,1,0,0
MOD would ~ PRES PROG,1,0,1,0
FUT ~ MOD is to,1,1,0,0
FUT ~ MOD VB,1,1,0,0
MOD ~ MOD would,1,1,0,0
MOD would ~ TO INF,1,1,0,0
MOD must,1,1,0,0
FUT ~ FUT PROG,1,0,1,0
MOD might ~ MOD would,1,0,0,1
PAST PROG ~ TO INF,1,1,0,0
FUT PROG,1,1,0,0
FUT ~ MOD should,1,0,0,1
FUT ~ MOD that be,1,1,0,0
PAST PERF ~ PRES PART,1,1,0,0
MOD could,1,0,0,1
PRES PERF ~ TO INF,1,0,1,0
MOD let ~ MOD might,1,1,0,0
MOD might,1,1,0,0
MOD quest must ~ MOD shall,1,0,0,1
PRES ~ VB,1,1,0,0
MOD could ~ MOD would,1,1,0,0
MOD lest ~ PRES,1,1,0,0
HAB used to ~ PAST PROG,1,1,0,0
HAB used to ~ PRES PART,1,1,0,0
MOD could ~ TO INF,1,1,0,0
IMPV ~ MOD VB,1,0,1,0
MOD is to ~ MOD lest,1,1,0,0
MOD is to ~ PRES PART,1,1,0,0
MOD VB ~ MOD can,1,1,0,0
