eng_TAMsimp,prophetic,prose,instruction,poetry,list
MOD can ~ MOD let,0,1,1,0,0
MOD lest ~ MOD might,0,1,1,0,0
MOD may ~ MOD should,0,0,0,2,0
MOD let ~ PRES,0,1,1,0,0
MOD must ~ PRES,0,0,1,1,0
MOD let ~ MOD must,1,1,0,0,0
MOD lest ~ PRES PART,0,2,0,0,0
MOD lest ~ MOD must,0,2,0,0,0
MOD must ~ PRES PART,0,1,1,0,0
MOD is to ~ MOD may,0,1,0,0,0
MOD let ~ PRES PART,0,1,0,0,0
MOD should ~ MOD would,0,1,0,0,0
MOD let ~ MOD should,0,1,0,0,0
MOD let ~ MOD would,0,0,0,0,1
MOD can ~ TO INF,1,0,0,0,0
MOD would ~ PRES PROG,0,1,0,0,0
FUT ~ MOD is to,0,1,0,0,0
FUT ~ MOD VB,0,1,0,0,0
MOD ~ MOD would,0,1,0,0,0
MOD would ~ TO INF,0,1,0,0,0
MOD must,0,0,1,0,0
FUT ~ FUT PROG,0,0,1,0,0
MOD might ~ MOD would,0,1,0,0,0
PAST PROG ~ TO INF,0,1,0,0,0
FUT PROG,1,0,0,0,0
FUT ~ MOD should,0,1,0,0,0
FUT ~ MOD that be,0,0,1,0,0
PAST PERF ~ PRES PART,0,1,0,0,0
MOD could,0,1,0,0,0
PRES PERF ~ TO INF,0,1,0,0,0
MOD let ~ MOD might,0,0,0,0,1
MOD might,0,1,0,0,0
MOD quest must ~ MOD shall,0,1,0,0,0
PRES ~ VB,1,0,0,0,0
MOD could ~ MOD would,0,1,0,0,0
MOD lest ~ PRES,0,0,1,0,0
HAB used to ~ PAST PROG,0,1,0,0,0
HAB used to ~ PRES PART,0,1,0,0,0
MOD could ~ TO INF,0,1,0,0,0
IMPV ~ MOD VB,0,1,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0
MOD is to ~ PRES PART,0,0,1,0,0
MOD VB ~ MOD can,0,1,0,0,0
