period,PAST,PAST ~ PRES PART,PAST ~ PAST PERF,?PAST ~ PAST,PRES PERF,?PAST,PAST ~ TO INF,PAST ~ PRES PERF,PAST PERF,PAST ~ PRES,PAST ~ PAST PROG,PRES,PRES PART,PRES ~ PRES PERF,MOD could ~ PAST,?VB ~ PAST,MOD would,?PAST ~ PRES PART,PAST PROG,TO INF,?VB,?PRES ~ PAST,?PAST did not ~ PAST,PRES ~ PRES PROG,FUT ~ PAST,?TO INF ~ PAST,MOD would ~ PAST,PAST PERF ~ PRES PART,PRES PART ~ PRES PERF,PAST PERF ~ PRES PERF,IMPV ~ PAST,?PAST ~ IMPV,?PAST ~ ?VB,?PRES PERF ~ PRES,?VB ~ PRES PERF,??VB ~ ?PAST question,FUT ~ PRES,?PAST ~ PRES,MOD let,MOD let ~ PAST,?PAST ~ ?TO INF,??PAST ~ ?PAST,?PAST PERF ~ PAST PERF,?PAST did not ~ ?PAST question,?MOD would ~ PAST,??PAST ~ ?TO INF,??VB ~ PRES,??PAST ~ PAST,?PAST wh-question ~ MOD let,?PAST wh-question,?PAST wh-question ~ PAST,?PAST wh-question ~ ?PRES,?MOD let ~ PAST,??PRES ~ PAST,MOD could ~ MOD might,?PAST ~ PRES PERF,?PRES PERF,PRES PERF ~ TO INF,PRES PERF ~ PRES PROG,PRES PERF PROG,PRES PART ~ TO INF,PAST ~ PAST PERF PROG,PAST PROG ~ PRES PERF PROG,PAST PROG ~ PRES PERF,PAST PROG ~ PRES PART,PAST PERF ~ TO INF,MOD should ~ TO INF,MOD should ~ MOD would,MOD may ~ PAST,MOD let ~ PRES PART,MOD let ~ PRES,IMPV ~ PRES PART,?VB ~ PRES,?PRES ~ PRES,??PAST
SBH,0.01,-0.0,-0.01,0.0,-0.01,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,-0.01,0.0,0.01,-0.0,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
