,prose,prophetic,poetry,instruction,list
??PAST ~ PAST,inf,0.0,0.0,0.0,0.0
??PRES ~ PAST,inf,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,0.0,inf,0.0,0.0,0.0
?PAST wh-question ~ PAST,inf,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,inf,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0,0.0,0.0
??VB ~ PRES,inf,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,0.0,inf,0.0,0.0,0.0
?PAST do-support ~ PAST,0.0,inf,0.0,0.0,0.0
?PAST did not ~ TO INF,0.0,0.0,inf,0.0,0.0
??VB ~ PRES PERF,0.0,0.0,inf,0.0,0.0
?FUT ~ ?PRES,0.0,0.0,inf,0.0,0.0
PRES PART ~ TO INF,inf,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,inf,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,inf,0.0,0.0,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.0,inf,0.0,0.0,0.0
?PRES PERF ~ PAST,0.0,0.0,inf,0.0,0.0
?PAST ~ PAST PERF,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,inf,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD may,0.0,0.0,inf,0.0,0.0
MOD is to ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD must ~ PAST,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD might,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,0.0,0.0,0.0,0.0,inf
IMPV ~ PRES,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES,0.0,inf,0.0,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD would ~ PRES,0.0,0.0,inf,0.0,0.0
?TO INF ~ PRES,0.0,0.0,inf,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
?PRES ~ TO INF,0.0,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,inf,0.0,0.0,0.0,0.0
?PRES ~ FUT,0.0,0.0,inf,0.0,0.0
?PRES ~ ?VB,0.0,inf,0.0,0.0,0.0
?PAST ~ PRES PERF,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0,0.0,0.0
