eng_TAMsimp,Q,N
FUT ~ MOD shall,1.0,0.0
IMPV ~ MOD shall,1.0,0.0
MOD is to ~ MOD shall,1.0,0.0
MOD must ~ MOD shall,1.0,0.0
FUT ~ PRES,0.99,0.01
PAST ~ PRES,0.3,0.7
MOD shall ~ PRES,1.0,0.0
FUT ~ MOD may,1.0,0.0
MOD shall ~ TO INF,1.0,0.0
PRES ~ PRES PERF,1.0,0.0
PRES ~ PRES PART,0.84,0.16
FUT ~ MOD lest,1.0,0.0
MOD may ~ TO INF,1.0,0.0
MOD may ~ PRES,1.0,0.0
FUT ~ IMPV,1.0,0.0
PRES ~ TO INF,1.0,0.0
MOD would ~ PAST,0.35,0.65
MOD may ~ MOD shall,1.0,0.0
PAST ~ PRES PART,0.31,0.69
FUT ~ TO INF,1.0,0.0
MOD shall ~ PRES PART,1.0,0.0
IMPV ~ PRES,1.0,0.0
IMPV ~ MOD let,1.0,0.0
PAST ~ PRES PERF,1.0,0.0
IMPV ~ TO INF,1.0,0.0
FUT ~ PRES PART,1.0,0.0
FUT ~ MOD let,1.0,0.0
FUT ~ MOD would,1.0,0.0
MOD can ~ MOD may,1.0,0.0
MOD let ~ MOD shall,1.0,0.0
MOD can ~ MOD shall,1.0,0.0
MOD let ~ MOD may,0.75,0.25
MOD is to ~ MOD let,1.0,0.0
MOD shall ~ PAST,1.0,0.0
MOD lest ~ TO INF,1.0,0.0
MOD is to ~ PRES,1.0,0.0
FUT ~ PAST,1.0,0.0
MOD lest ~ MOD may,1.0,0.0
PAST ~ TO INF,0.5,0.5
PAST ~ PAST PROG,0.33,0.67
FUT ~ PRES PERF,1.0,0.0
MOD would ~ PRES,1.0,0.0
MOD shall ~ MOD would,1.0,0.0
MOD is to ~ PAST,1.0,0.0
IMPV ~ PAST,1.0,0.0
MOD shall ~ PRES PERF,1.0,0.0
IMPV ~ MOD lest,1.0,0.0
MOD may ~ MOD must,1.0,0.0
MOD shall ~ MOD should,1.0,0.0
IMPV ~ MOD must,1.0,0.0
MOD should ~ PRES,1.0,0.0
MOD let ~ TO INF,1.0,0.0
FUT ~ FUT PERF,1.0,0.0
FUT ~ MOD can,1.0,0.0
MOD should ~ TO INF,1.0,0.0
FUT ~ FUT going-to,1.0,0.0
MOD can ~ PRES,1.0,0.0
PAST ~ PAST PERF,0.0,1.0
HAB used to ~ PAST,0.0,1.0
IMPV ~ MOD would,0.33,0.67
MOD could ~ MOD may,1.0,0.0
IMPV ~ MOD may,1.0,0.0
MOD VB ~ PRES,1.0,0.0
MOD can ~ MOD let,1.0,0.0
FUT ~ MOD must,1.0,0.0
HAB used to ~ MOD would,0.0,1.0
IMPV ~ MOD is to,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
FUT going-to ~ MOD shall,1.0,0.0
MOD may ~ MOD should,1.0,0.0
MOD was to ~ PAST,0.0,1.0
PRES ~ PRES PROG,1.0,0.0
MOD may ~ PRES PART,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
MOD lest ~ MOD might,1.0,0.0
MOD lest ~ MOD must,1.0,0.0
MOD lest ~ PRES PART,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
MOD let ~ MOD must,1.0,0.0
MOD let ~ PRES,1.0,0.0
MOD that be ~ TO INF,1.0,0.0
FUT ~ MOD that be,1.0,0.0
FUT ~ MOD should,1.0,0.0
MOD should ~ MOD would,1.0,0.0
FUT ~ MOD is to,1.0,0.0
MOD would ~ PRES PROG,1.0,0.0
MOD would ~ TO INF,1.0,0.0
PAST PERF ~ PRES PART,0.0,1.0
FUT ~ MOD VB,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0
FUT ~ FUT PROG,1.0,0.0
MOD quest must ~ MOD shall,1.0,0.0
MOD can ~ TO INF,1.0,0.0
MOD must ~ PRES,1.0,0.0
MOD might ~ MOD would,1.0,0.0
MOD could ~ MOD would,1.0,0.0
MOD let ~ PRES PART,1.0,0.0
HAB used to ~ PRES PART,0.0,1.0
IMPV ~ MOD VB,1.0,0.0
MOD let ~ MOD would,1.0,0.0
MOD let ~ MOD should,1.0,0.0
MOD let ~ MOD might,1.0,0.0
MOD lest ~ PRES,1.0,0.0
MOD is to ~ PRES PART,1.0,0.0
MOD is to ~ MOD may,1.0,0.0
MOD VB ~ MOD can,1.0,0.0
MOD is to ~ MOD lest,1.0,0.0
MOD could ~ TO INF,1.0,0.0
PRES ~ VB,1.0,0.0
